Date,Open,High,Low,Close,Tick_Vol
1/5/2020,1558.65,1611.25,1540.17,1562.03,417142
1/12/2020,1559.911,1561.44,1535.85,1557,288879
1/19/2020,1557.52,1575.73,1546.29,1571.42,263672
1/26/2020,1581.14,1590.29,1563.305,1589.2,368721
2/2/2020,1590.81,1591.88,1547.44,1570.07,347703
2/9/2020,1571.6,1584.91,1561.83,1583.51,273268
2/16/2020,1582.1,1649.12,1578.8,1643.07,306365
2/23/2020,1653.25,1689.25,1562.76,1585.52,649126
3/1/2020,1591.17,1691.93,1575.28,1673.31,554215
3/8/2020,1690.77,1703.09,1504.43,1529.26,669370
3/15/2020,1565.33,1575.16,1451.13,1497.34,647997
3/22/2020,1502.55,1644.22,1482.27,1624.44,284291
3/29/2020,1638.045,1638.045,1567.78,1613.71,289588
4/5/2020,1620.84,1689.62,1608.64,1680.66,234164
4/12/2020,1683.24,1746.94,1674.75,1681.07,371383
4/19/2020,1678.66,1738.875,1659.24,1725.78,388172
4/26/2020,1725.96,1727.32,1670.22,1697.64,383197
5/3/2020,1700.27,1723.19,1681.4,1698.7,297894
5/10/2020,1700.67,1751.45,1688.16,1738.88,331845
5/17/2020,1743.81,1765.08,1717.17,1732.44,343833
5/24/2020,1732.31,1737.63,1693.63,1723.26,275568
5/31/2020,1733.12,1745.07,1670.6,1684.49,326867
6/7/2020,1681.77,1744.67,1677.18,1729.68,344547
6/14/2020,1732.33,1745.2,1704.06,1743.1,309018
6/21/2020,1752.34,1779.21,1742.82,1770.32,301704
6/28/2020,1771.9,1789.05,1757.47,1774.82,276118
7/5/2020,1776.18,1817.92,1769.84,1798.08,321187
7/12/2020,1799.1,1814.88,1790.44,1809.16,311916
7/19/2020,1810.01,1906.49,1805.59,1900.01,464019
7/26/2020,1900.54,1982.86,1899.46,1975.48,577835
8/2/2020,1978.75,2075.01,1960.42,2034.43,524387
8/9/2020,2034.14,2049.79,1862.33,1943.94,618265
8/16/2020,1948.97,2015.55,1911.3,1939.55,559101
8/23/2020,1940.22,1976.66,1902.72,1964.11,497529
8/30/2020,1965.15,1992.32,1916.45,1933.24,397102
9/6/2020,1930.78,1966.38,1906.4,1939.75,339628
9/13/2020,1940.48,1973.4,1932.73,1949.66,350962
9/20/2020,1950.23,1955.47,1848.65,1860.94,464821
